Marca,Modello,Versione,Prezzo,Lunghezza,Larghezza,Altezza,Posti,Bagagliaio,Garanzia,Motorizzazione,Cilindrata cm³,Cilindri,Potenza CV/KW,Potenza termico CV/KW,Potenza omologata CV/KW,Coppia Nm,Velocità max km/h,Consumo medio l/100 km,Consumo medio kWh/100 km,Emissioni,Peso kg,Autonomia km,Capacità batteria kWh
SWM,G05,1.5 Turbo DCT,25.890,475,186,178,7,562/3024,5/100.000,benzina,1.499,4,139 CV/102 KW,nd,nd,230,nd,"8,5 l/100 Km",nd,194-195 G/KM,1.560-1.595,nd,nd
Smart,#1,Brabus AWD,43.655,427,182,164,5,ant. 15post. 313-323/976-986,2/illimitati,elettrica,nd,nd,428 CV/315 KW,nd,158 CV/116 KW,543,180,nd,"17,4 kWh/100 km",0 G/KM,1.900,400,66
Smart,#1,Premium,47.545,427,182,164,5,ant. 15post. 313-323/976-986,2/illimitati,elettrica,nd,nd,272 CV/200 KW,nd,102 CV/75 KW,343,180,nd,"18,1 kWh/100 km",0 G/KM,1.780-1.800,310,66
Smart,#1,Pro,39.545,427,182,164,5,ant. 15post. 313-323/976-986,2/illimitati,elettrica,nd,nd,272 CV/200 KW,nd,102 CV/75 KW,343,180,nd,"18,1 kWh/100 km",0 G/KM,1.780-1.800,310,66
Smart,#1,Pro+,44.545,427,182,164,5,ant. 15post. 313-323/976-986,2/illimitati,elettrica,nd,nd,272 CV/200 KW,nd,102 CV/75 KW,343,180,nd,"18,1 kWh/100 km",0 G/KM,1.780-1.800,310,66
Smart,#1,Pulse AWD,43.655,427,182,164,5,ant. 15post. 313-323/976-986,2/illimitati,elettrica,nd,nd,428 CV/315 KW,nd,158 CV/116 KW,543,180,nd,"17,4 kWh/100 km",0 G/KM,1.900,400,66
Smart,#1,Pure,37.045,427,182,164,5,ant. 15post. 313-323/976-986,2/illimitati,elettrica,nd,nd,272 CV/200 KW,nd,102 CV/75 KW,343,180,nd,"18,1 kWh/100 km",0 G/KM,1.780,259,47
Smart,#1,Pure+,42.045,427,182,164,5,ant. 15post. 313-323/976-986,2/illimitati,elettrica,nd,nd,272 CV/200 KW,nd,102 CV/75 KW,343,180,nd,"18,1 kWh/100 km",0 G/KM,1.780-1.800,310,66
Smart,#3,25th Anniversary Edition,49.045,440,184,156,5,ant. 15post. 320/1160,2/illimitati,elettrica,nd,nd,272 CV/200 KW,nd,102 CV/75 KW,343,180,nd,"16,8 kWh/100 km",0 G/KM,1.780-1.810,435,62
Smart,#3,Brabus AWD,53.635,440,184,156,5,ant. 15post. 320/1160,2/illimitati,elettrica,nd,nd,428 CV/315 KW,nd,158 CV/116 KW,543,180,nd,"17,6 kWh/100 km",0 G/KM,1.910,415,62
Smart,#3,Premium,48.545,440,184,156,5,ant. 15post. 320/1160,2/illimitati,elettrica,nd,nd,272 CV/200 KW,nd,102 CV/75 KW,343,180,nd,"16,8 kWh/100 km",0 G/KM,1.780-1.810,435,62
Smart,#3,Pro,40.545,440,184,156,5,ant. 15post. 320/1160,2/illimitati,elettrica,nd,nd,272 CV/200 KW,nd,102 CV/75 KW,343,180,nd,"17,2 kWh/100 km",0 G/KM,1.780,325,47
Smart,#3,Pro+,45.545,440,184,156,5,ant. 15post. 320/1160,2/illimitati,elettrica,nd,nd,272 CV/200 KW,nd,102 CV/75 KW,343,180,nd,"16,8 kWh/100 km",0 G/KM,1.780-1.810,435,62
Smart,#3,Pulse,48.635,440,184,156,5,ant. 15post. 320/1160,2/illimitati,elettrica,nd,nd,428 CV/315 KW,nd,158 CV/116 KW,543,180,nd,"17,6 kWh/100 km",0 G/KM,1.910,415,62
Smart,#5,74.4 kWh Pro,47.935,470,192,171,5,ant. 72post. 630/1530,2/illimitati,elettrica,nd,nd,340 CV/250 KW,nd,nd,373,200,nd,n.d. kWh/100 km,0 G/KM,2.200,465,74
Smart,#5,94 kWh Brabus AWD,63.295,470,192,171,5,ant. 72post. 630/1530,2/illimitati,elettrica,nd,nd,646 CV/475 KW,nd,nd,710,210,nd,n.d. kWh/100 km,0 G/KM,2.378,540,94
Smart,#5,94 kWh Premium,57.435,470,192,171,5,ant. 72post. 630/1530,2/illimitati,elettrica,nd,nd,363 CV/267 KW,nd,nd,373,200,nd,n.d. kWh/100 km,0 G/KM,2.260,590,94
Smart,#5,94 kWh Pro+,52.935,470,192,171,5,ant. 72post. 630/1530,2/illimitati,elettrica,nd,nd,363 CV/267 KW,nd,nd,373,200,nd,n.d. kWh/100 km,0 G/KM,2.260,590,94
Smart,#5,94 kWh Pulse AWD,57.675,470,192,171,5,ant. 72post. 630/1530,2/illimitati,elettrica,nd,nd,587 CV/432 KW,nd,nd,643,200,nd,n.d. kWh/100 km,0 G/KM,2.345-2.370,540,94
Smart,#5,94 kWh Summit Edition AWD,59.175,470,192,171,5,ant. 72post. 630/1530,2/illimitati,elettrica,nd,nd,587 CV/432 KW,nd,nd,643,200,nd,n.d. kWh/100 km,0 G/KM,2.345-2.370,540,94
Sportequipe,5,1.5 Turbo CVT,33.900,432,183,167,5,340/1100,5/100.000,benzina,1.498,4,155 CV/114 KW,nd,nd,210,185,"7,8 l/100 Km",nd,175 G/KM,1.384,nd,nd
Sportequipe,5,1.5 Turbo GPL CVT,35.900,432,183,167,5,340/1100,5/100.000,Gpl,1.498,4,150 CV/110 KW,nd,nd,195,185,"9,6 l/100 Km",nd,160 G/KM,1.404,nd,nd
Sportequipe,6,1.5 PHEV DHT,46.500,450,184,174,5,380-800/1500-1700,5/100.000,plug-in benzina PHEV,1.498,4,317 CV/233 KW,147 CV/108 KW,nd,545,201,nd,nd,22 G/KM,1.655,99,nd
Sportequipe,6,1.5 Turbo CVT,34.900,450,184,174,5,380-800/1500-1700,5/100.000,benzina,1.498,4,155 CV/114 KW,nd,nd,210,186,"7,8 l/100 Km",nd,175 G/KM,1.465,nd,nd
Sportequipe,6,1.5 Turbo GPL CVT,36.900,450,184,174,5,380-800/1500-1700,5/100.000,Gpl,1.498,4,150 CV/110 KW,nd,nd,195,186,"9,64 l/100 Km",nd,160 G/KM,1.485,nd,nd
Sportequipe,6 GT,1.5 Turbo,30.900,459,190,169,5,476/977,5/100.000,benzina,1.498,4,156 CV/115 KW,nd,nd,230,185,"7,4 l/100 Km",nd,171 G/KM,1.410,nd,nd
Sportequipe,6 GT,1.5 Turbo Bifuel Gpl,32.900,459,190,169,5,476/977,5/100.000,Gpl,1.498,4,156 CV/115 KW,nd,nd,230,nd,n.d. l/100 Km,nd,n.d. G/KM,nd,nd,nd
Sportequipe,6 GT,1.6 T-GDI,32.900,459,190,169,5,476/977,5/100.000,benzina,1.598,4,186 CV/137 KW,nd,nd,290,200,"7,6 l/100 Km",nd,175 G/KM,1.487,nd,nd
Sportequipe,6 GT,1.6 T-GDI Bifuel Gpl,34.900,459,190,169,5,476/977,5/100.000,Gpl,1.598,4,186 CV/137 KW,nd,nd,290,nd,n.d. l/100 Km,nd,n.d. G/KM,nd,nd,nd
Sportequipe,7,1.5 Turbo DCT,36.900,470,186,171,7,230/1500,5/100.000,benzina,1.498,4,160 CV/118 KW,nd,nd,210,190,8 l/100 Km,nd,182 G/KM,1.489,nd,nd
Sportequipe,7,1.5 Turbo GPL DCT,38.900,470,186,171,7,230/1500,5/100.000,Gpl,1.498,4,154 CV/113 KW,nd,nd,210,190,"9,9 l/100 Km",nd,160 G/KM,1.509,nd,nd
